path,file_id,sequence_id,participant_id,phrase
train_landmarks/814825.parquet,814825,1,81426,evaluation to world over
train_landmarks/103402.parquet,103402,2,23396,engineering evaluation american fox
train_landmarks/755674.parquet,755674,3,89840,(415) 555-8833
train_landmarks/632323.parquet,632323,4,37869,asl over guatemala
train_landmarks/656116.parquet,656116,5,14207,welcome the university frequency model welcome
train_landmarks/160738.parquet,160738,6,22676,1-888-456-7890
train_landmarks/182582.parquet,182582,7,88104,www.nytimes.com/world
train_landmarks/955662.parquet,955662,8,75435,https://apple.com/ios
train_landmarks/903035.parquet,903035,9,89840,www.nytimes.com/world
train_landmarks/676510.parquet,676510,10,83000,1-888-456-7890
train_landmarks/736059.parquet,736059,11,47930,123 main street apt 4b
train_landmarks/665492.parquet,665492,12,54118,learning fingerspelling deep
train_landmarks/491559.parquet,491559,13,82357,221b baker street
train_landmarks/573417.parquet,573417,14,28726,https://github.com/kaggle
train_landmarks/167136.parquet,167136,15,13278,221b baker street
train_landmarks/680828.parquet,680828,16,40495,800-555-0199
train_landmarks/107540.parquet,107540,17,39256,https://www.google.com
train_landmarks/340062.parquet,340062,18,39256,https://www.google.com
train_landmarks/446479.parquet,446479,19,74686,https://github.com/kaggle
train_landmarks/392004.parquet,392004,20,84341,sign learning analysis
train_landmarks/704201.parquet,704201,21,93320,456 elm st suite 200
train_landmarks/946721.parquet,946721,22,14165,742 evergreen terrace
train_landmarks/201639.parquet,201639,23,31319,fingerspelling project dataset deep
train_landmarks/777568.parquet,777568,24,69429,https://youtube.com/watch
train_landmarks/863587.parquet,863587,25,68878,742 evergreen terrace
train_landmarks/360735.parquet,360735,26,40512,1-888-456-7890
train_landmarks/570405.parquet,570405,27,19116,www.cdc.gov/covid
train_landmarks/392075.parquet,392075,28,83000,742 evergreen terrace
train_landmarks/564656.parquet,564656,29,52504,fox vision sign the fox dataset
train_landmarks/347861.parquet,347861,30,39256,(212) 555-4321
train_landmarks/604740.parquet,604740,31,91070,(212) 555-4321
train_landmarks/161483.parquet,161483,32,99733,(555) 234-5678
train_landmarks/509386.parquet,509386,33,58520,+1-800-222-3344
train_landmarks/923267.parquet,923267,34,74686,456 elm st suite 200
train_landmarks/830429.parquet,830429,35,14207,vision american lazy dog quick dataset
train_landmarks/163918.parquet,163918,36,64987,quick project
train_landmarks/994141.parquet,994141,37,21395,guatemala brown
train_landmarks/294851.parquet,294851,38,40021,http://wikipedia.org/asl
train_landmarks/808011.parquet,808011,39,42098,fox analysis hello recognition computer
train_landmarks/539589.parquet,539589,40,70589,sign university lazy learning dog fingerspelling
train_landmarks/804318.parquet,804318,41,18326,welcome dataset brown project engineering
train_landmarks/204837.parquet,204837,42,42087,https://github.com/kaggle
train_landmarks/630458.parquet,630458,43,85674,+1-555-987-6543
train_landmarks/172132.parquet,172132,44,40021,world science sign world
train_landmarks/946305.parquet,946305,45,69429,deep language
train_landmarks/795613.parquet,795613,46,89840,www.cdc.gov/covid
train_landmarks/377312.parquet,377312,47,60432,http://wikipedia.org/asl
train_landmarks/878480.parquet,878480,48,85674,world lazy to deep
train_landmarks/994343.parquet,994343,49,71348,(212) 555-4321
train_landmarks/363319.parquet,363319,50,99192,fox fingerspelling
train_landmarks/390120.parquet,390120,51,10851,www.amazon.com/deals
train_landmarks/908577.parquet,908577,52,81482,http://weather.com/today
train_landmarks/269430.parquet,269430,53,13905,learning language fox guatemala deep jumps
train_landmarks/137778.parquet,137778,54,13278,language science quick asl university engineering
train_landmarks/141832.parquet,141832,55,65302,deep deep to
train_landmarks/687080.parquet,687080,56,45093,engineering dataset university dog over
train_landmarks/938742.parquet,938742,57,21395,the dataset welcome university accuracy
train_landmarks/870763.parquet,870763,58,15695,over learning asl quick
train_landmarks/593554.parquet,593554,59,76784,+1-800-222-3344
train_landmarks/582662.parquet,582662,60,46048,123 main street apt 4b
train_landmarks/333752.parquet,333752,61,62350,https://github.com/kaggle
train_landmarks/517821.parquet,517821,62,57052,742 evergreen terrace
train_landmarks/910891.parquet,910891,63,40495,(415) 555-8833
train_landmarks/634150.parquet,634150,64,18675,221b baker street
train_landmarks/447235.parquet,447235,65,99733,frequency hello
train_landmarks/708792.parquet,708792,66,24371,quick recognition to evaluation
train_landmarks/557592.parquet,557592,67,75435,fox analysis lazy quick science sign
train_landmarks/945687.parquet,945687,68,86622,asl brown vision
train_landmarks/446239.parquet,446239,69,57052,learning world
train_landmarks/424308.parquet,424308,70,87236,fingerspelling world jumps fingerspelling
train_landmarks/497562.parquet,497562,71,94259,computer world language
train_landmarks/100425.parquet,100425,72,86484,123 main street apt 4b
train_landmarks/550770.parquet,550770,73,25014,vision project science dog project analysis
train_landmarks/934692.parquet,934692,74,39871,world vision
train_landmarks/749342.parquet,749342,75,91070,123 main street apt 4b
train_landmarks/805477.parquet,805477,76,28301,123 main street apt 4b
train_landmarks/254511.parquet,254511,77,59615,https://github.com/kaggle
train_landmarks/598216.parquet,598216,78,18326,project analysis
train_landmarks/703634.parquet,703634,79,21915,(415) 555-8833
train_landmarks/502630.parquet,502630,80,20458,123 main street apt 4b
train_landmarks/254739.parquet,254739,81,94259,analysis frequency
train_landmarks/211764.parquet,211764,82,70142,over guatemala sign
train_landmarks/152657.parquet,152657,83,13905,project accuracy
train_landmarks/800005.parquet,800005,84,30969,recognition guatemala analysis computer learning american
train_landmarks/970914.parquet,970914,85,58520,analysis dataset project hello hello
train_landmarks/768636.parquet,768636,86,28131,+1-800-222-3344
train_landmarks/646622.parquet,646622,87,15695,123 main street apt 4b
train_landmarks/387936.parquet,387936,88,92240,10 downing street london
train_landmarks/399607.parquet,399607,89,85674,+1-555-987-6543
train_landmarks/435239.parquet,435239,90,24592,jumps dog
train_landmarks/827659.parquet,827659,91,99192,800-555-0199
train_landmarks/167348.parquet,167348,92,65302,1600 pennsylvania ave
train_landmarks/668969.parquet,668969,93,15695,742 evergreen terrace
train_landmarks/316881.parquet,316881,94,60019,analysis recognition deep frequency evaluation
train_landmarks/498858.parquet,498858,95,60019,1600 pennsylvania ave
train_landmarks/413118.parquet,413118,96,80010,sign dataset accuracy analysis american
train_landmarks/386193.parquet,386193,97,52504,742 evergreen terrace
train_landmarks/507746.parquet,507746,98,46434,10 downing street london
train_landmarks/936912.parquet,936912,99,89131,123 main street apt 4b
train_landmarks/981334.parquet,981334,100,80284,123 main street apt 4b
train_landmarks/752483.parquet,752483,101,62581,recognition vision brown science frequency
train_landmarks/290556.parquet,290556,102,94259,https://youtube.com/watch
train_landmarks/443254.parquet,443254,103,83579,+1-555-987-6543
train_landmarks/453894.parquet,453894,104,83579,world guatemala fingerspelling model project
train_landmarks/885408.parquet,885408,105,65302,dog brown guatemala quick
train_landmarks/132537.parquet,132537,106,31319,model computer dog
train_landmarks/596564.parquet,596564,107,23434,guatemala project hello asl recognition guatemala
train_landmarks/853252.parquet,853252,108,89840,www.cdc.gov/covid
train_landmarks/426147.parquet,426147,109,59823,https://www.google.com
train_landmarks/427110.parquet,427110,110,30033,fingerspelling learning brown deep computer
train_landmarks/206851.parquet,206851,111,82357,frequency recognition fox engineering
train_landmarks/920652.parquet,920652,112,40495,https://apple.com/ios
train_landmarks/549186.parquet,549186,113,36062,american to
train_landmarks/990844.parquet,990844,114,28726,456 elm st suite 200
train_landmarks/210665.parquet,210665,115,83000,1600 pennsylvania ave
train_landmarks/766459.parquet,766459,116,13905,learning science dataset guatemala hello
train_landmarks/947458.parquet,947458,117,65302,project model recognition welcome hello
train_landmarks/190872.parquet,190872,118,37653,(212) 555-4321
train_landmarks/355709.parquet,355709,119,21395,computer asl the frequency lazy lazy
train_landmarks/936587.parquet,936587,120,57447,+1-555-987-6543
train_landmarks/725113.parquet,725113,121,84341,language sign lazy dog
train_landmarks/526170.parquet,526170,122,65302,123 main street apt 4b
train_landmarks/824156.parquet,824156,123,65302,10 downing street london
train_landmarks/614663.parquet,614663,124,99166,742 evergreen terrace
train_landmarks/197573.parquet,197573,125,91070,(212) 555-4321
train_landmarks/825391.parquet,825391,126,91070,(415) 555-8833
train_landmarks/709805.parquet,709805,127,62350,221b baker street
train_landmarks/656711.parquet,656711,128,60019,10 downing street london
train_landmarks/677124.parquet,677124,129,99166,10 downing street london
train_landmarks/575786.parquet,575786,130,70142,+1-555-987-6543
train_landmarks/341736.parquet,341736,131,91070,https://github.com/kaggle
train_landmarks/430876.parquet,430876,132,65302,https://apple.com/ios
train_landmarks/899213.parquet,899213,133,28301,dog project learning
train_landmarks/897135.parquet,897135,134,93227,engineering model world to
train_landmarks/416950.parquet,416950,135,20458,https://apple.com/ios
train_landmarks/232731.parquet,232731,136,99192,(555) 234-5678
train_landmarks/680238.parquet,680238,137,38657,800-555-0199
train_landmarks/768854.parquet,768854,138,31319,fox the world project to
train_landmarks/153872.parquet,153872,139,24592,+1-800-222-3344
train_landmarks/600935.parquet,600935,140,69429,http://wikipedia.org/asl
train_landmarks/520172.parquet,520172,141,23434,221b baker street
train_landmarks/760021.parquet,760021,142,40495,jumps language welcome
train_landmarks/360247.parquet,360247,143,40495,https://youtube.com/watch
train_landmarks/735770.parquet,735770,144,40021,dog sign science science frequency engineering
train_landmarks/420214.parquet,420214,145,61856,computer dataset
train_landmarks/899787.parquet,899787,146,70589,800-555-0199
